cve,epss,percentile,date
CVE-2025-9923,0.00033,0.08562,2025-10-01
CVE-2025-9801,0.00057,0.18043,2025-10-01
CVE-2025-9800,0.00048,0.14606,2025-10-01
CVE-2025-9796,0.00033,0.08659,2025-10-01
CVE-2025-9794,0.00043,0.12688,2025-10-01
CVE-2025-9789,0.00039,0.11309,2025-10-01
CVE-2025-11031,0.00048,0.14908,2025-10-01
CVE-2025-10779,0.00066,0.20918,2025-10-01
CVE-2025-10769,0.00058,0.18167,2025-10-01
CVE-2025-10083,0.00048,0.14565,2025-10-01
CVE-2025-9923,0.00033,0.08504,2025-10-02
CVE-2025-9801,0.00057,0.18003,2025-10-02
CVE-2025-9800,0.00048,0.14581,2025-10-02
CVE-2025-9796,0.00033,0.08598,2025-10-02
CVE-2025-9794,0.00043,0.1267,2025-10-02
CVE-2025-9789,0.00039,0.11297,2025-10-02
CVE-2025-11031,0.00064,0.20217,2025-10-02
CVE-2025-10779,0.00066,0.20888,2025-10-02
CVE-2025-10769,0.00058,0.18125,2025-10-02
CVE-2025-10083,0.00048,0.14538,2025-10-02
CVE-2025-9923,0.00033,0.08537,2025-10-04
CVE-2025-9801,0.00066,0.20795,2025-10-04
CVE-2025-9800,0.00055,0.17281,2025-10-04
CVE-2025-9796,0.00039,0.11088,2025-10-04
CVE-2025-9794,0.00046,0.14051,2025-10-04
CVE-2025-9789,0.00042,0.1264,2025-10-04
CVE-2025-11031,0.00064,0.20154,2025-10-04
CVE-2025-10779,0.00066,0.20792,2025-10-04
CVE-2025-10769,0.00058,0.18066,2025-10-04
CVE-2025-10083,0.00048,0.14521,2025-10-04
CVE-2025-9923,0.00036,0.097,2025-10-06
CVE-2025-9801,0.00066,0.20755,2025-10-06
CVE-2025-9800,0.00055,0.17221,2025-10-06
CVE-2025-9796,0.00039,0.11063,2025-10-06
CVE-2025-9794,0.00046,0.13995,2025-10-06
CVE-2025-9789,0.00042,0.1258,2025-10-06
CVE-2025-11031,0.00064,0.20112,2025-10-06
CVE-2025-10779,0.00066,0.20752,2025-10-06
CVE-2025-10769,0.00058,0.18007,2025-10-06
CVE-2025-10083,0.00048,0.14471,2025-10-06
CVE-2025-9923,0.00036,0.0968,2025-10-07
CVE-2025-9801,0.00066,0.20714,2025-10-07
CVE-2025-9800,0.00055,0.17194,2025-10-07
CVE-2025-9796,0.00039,0.1103,2025-10-07
CVE-2025-9794,0.00046,0.13982,2025-10-07
CVE-2025-9789,0.00042,0.12561,2025-10-07
CVE-2025-11031,0.00064,0.20073,2025-10-07
CVE-2025-10779,0.00066,0.20712,2025-10-07
CVE-2025-10769,0.00058,0.17974,2025-10-07
CVE-2025-10083,0.00048,0.14458,2025-10-07
CVE-2025-9923,0.00036,0.09737,2025-10-08
CVE-2025-9801,0.00066,0.20732,2025-10-08
CVE-2025-9800,0.00055,0.17232,2025-10-08
CVE-2025-9796,0.00039,0.11074,2025-10-08
CVE-2025-9794,0.00046,0.14027,2025-10-08
CVE-2025-9789,0.00042,0.12614,2025-10-08
CVE-2025-11031,0.00099,0.28273,2025-10-08
CVE-2025-10779,0.00066,0.20729,2025-10-08
CVE-2025-10769,0.00058,0.18015,2025-10-08
CVE-2025-10083,0.00048,0.14506,2025-10-08
CVE-2025-9923,0.00036,0.09763,2025-10-09
CVE-2025-9801,0.00066,0.20732,2025-10-09
CVE-2025-9800,0.00055,0.17224,2025-10-09
CVE-2025-9796,0.00039,0.11088,2025-10-09
CVE-2025-9794,0.00046,0.14039,2025-10-09
CVE-2025-9789,0.00042,0.12641,2025-10-09
CVE-2025-11031,0.00099,0.28298,2025-10-09
CVE-2025-10779,0.00066,0.2073,2025-10-09
CVE-2025-10769,0.0005,0.15296,2025-10-09
CVE-2025-10083,0.00048,0.14517,2025-10-09
CVE-2025-9923,0.00036,0.09777,2025-10-10
CVE-2025-9801,0.00066,0.20723,2025-10-10
CVE-2025-9800,0.00055,0.17223,2025-10-10
CVE-2025-9796,0.00039,0.11092,2025-10-10
CVE-2025-9794,0.00046,0.13971,2025-10-10
CVE-2025-9789,0.00042,0.12564,2025-10-10
CVE-2025-11031,0.00099,0.28317,2025-10-10
CVE-2025-10779,0.00066,0.2072,2025-10-10
CVE-2025-10769,0.0005,0.15234,2025-10-10
CVE-2025-10083,0.00055,0.17185,2025-10-10
CVE-2025-9923,0.00036,0.098,2025-10-11
CVE-2025-9801,0.00066,0.20709,2025-10-11
CVE-2025-9800,0.00055,0.17222,2025-10-11
CVE-2025-9796,0.00039,0.11107,2025-10-11
CVE-2025-9794,0.00046,0.13974,2025-10-11
CVE-2025-9789,0.00042,0.12572,2025-10-11
CVE-2025-11031,0.00099,0.28319,2025-10-11
CVE-2025-10779,0.00066,0.20707,2025-10-11
CVE-2025-10769,0.0005,0.15242,2025-10-11
CVE-2025-10083,0.00055,0.17186,2025-10-11
CVE-2025-9923,0.00036,0.09788,2025-10-12
CVE-2025-9801,0.00066,0.20679,2025-10-12
CVE-2025-9800,0.00055,0.17237,2025-10-12
CVE-2025-9796,0.00039,0.11133,2025-10-12
CVE-2025-9794,0.00046,0.14007,2025-10-12
CVE-2025-9789,0.00042,0.12601,2025-10-12
CVE-2025-11031,0.00099,0.28301,2025-10-12
CVE-2025-10779,0.00066,0.20676,2025-10-12
CVE-2025-10769,0.0005,0.15266,2025-10-12
CVE-2025-10083,0.00055,0.172,2025-10-12
CVE-2025-9923,0.00036,0.09783,2025-10-13
CVE-2025-9801,0.00066,0.2067,2025-10-13
CVE-2025-9800,0.00055,0.17226,2025-10-13
CVE-2025-9796,0.00039,0.11131,2025-10-13
CVE-2025-9794,0.00053,0.16426,2025-10-13
CVE-2025-9789,0.00048,0.14771,2025-10-13
CVE-2025-11031,0.00099,0.28294,2025-10-13
CVE-2025-10779,0.00066,0.20667,2025-10-13
CVE-2025-10769,0.0005,0.15267,2025-10-13
CVE-2025-10083,0.00055,0.17189,2025-10-13
CVE-2025-9923,0.00036,0.09778,2025-10-14
CVE-2025-9801,0.00066,0.20664,2025-10-14
CVE-2025-9800,0.00055,0.17217,2025-10-14
CVE-2025-9796,0.00039,0.11124,2025-10-14
CVE-2025-9794,0.00053,0.16397,2025-10-14
CVE-2025-9789,0.00048,0.14751,2025-10-14
CVE-2025-11031,0.00099,0.28286,2025-10-14
CVE-2025-10779,0.00066,0.20662,2025-10-14
CVE-2025-10769,0.0005,0.15241,2025-10-14
CVE-2025-10083,0.00055,0.1718,2025-10-14
CVE-2025-9923,0.00049,0.15016,2025-10-15
